Land,Code,Label,Ausfuhr: Wert,Einfuhr: Wert
Albanien,WA51,"Wolle, feine und grobe Tierhaare",1948000,0
Albanien,WA52,Baumwolle,70261000,50000
Albanien,WA53,"Andere pflanzliche Spinnstoffe, Papiergarn",1087000,4000
Albanien,WA54,Synthetisches oder künstliches Filament,27813000,41000
Albanien,WA55,Synthetische oder künstliche Spinnfaser,84357000,23000
Albanien,WA56,"Watte, Filz, Vliesstoff usw., Tauwerk",11608000,29000
Albanien,WA57,"Teppiche, Fußbodenbelag aus Spinnstoff",593000,40000
Albanien,WA58,"Spezialgewebe, Spitzen, Tapisserien",14361000,116000
Albanien,WA59,"Getränkte, bestrichene usw. Gewebe",29104000,44000
Albanien,WA60,Gewirke und Gestricke,18319000,11000
Albanien,WA61,"Bekleidung usw. aus Gewirken, Gestricken",21758000,180647000
Albanien,WA62,"Andere Bekleidung, Bekleidungszubehör",15672000,566043000
Albanien,WA63,"Andere Konfektion, Spinnstoffwaren usw.",24307000,4250000
Albanien,WA64,"Schuhe, Gamaschen, ähnliche Waren",28369000,390821000
Albanien,WA65,Kopfbedeckungen und Teile davon,488000,688000
Albanien,WA66,"Schirme, Gehstöcke usw., Peitschen",1436000,47000
Albanien,WA67,"Zugerichtete Federn, Daunen, künstliche Blumen",276000,7000
Albanien,WA68,"Waren aus Steinen, Gips, Zement usw.",16503000,2136000
Albanien,WA69,Keramische Waren,19781000,741000
Albanien,WA70,Glas und Glaswaren,9076000,327000
Albanien,WA71,"Perlen, Edelsteine, Edelmetalle",3556000,16671000
Albanien,WA72,Eisen und Stahl,4362000,145136000
Albanien,WA73,Waren aus Eisen oder Stahl,185658000,10525000
Albanien,WA74,Kupfer und Waren daraus,2229000,2829000
Albanien,WA75,Nickel und Waren daraus,842000,1784000
Albanien,WA76,Aluminium und Waren daraus,14697000,7750000
Albanien,WA78,Blei und Waren daraus,58000,52000
Albanien,WA79,Zink und Waren daraus,253000,19000
Albanien,WA80,Zinn und Waren daraus,21000,2000
Albanien,WA81,"Andere unedle Metalle, Cermets usw.",1193000,450000
Albanien,WA82,"Werkzeuge, Schneidwaren, Essbestecke",18060000,1382000
Albanien,WA83,Verschiedene Waren aus unedlen Metallen,15699000,823000
Albanien,WA84,"Maschinen, Apparate, mechanische Geräte",507308000,5807000
Albanien,WA85,Elektrotechnische Erzeugnisse,319027000,78994000
Albanien,WA86,Schienenfahrzeuge,523000,50000
Albanien,WA87,"Kraftfahrzeuge, Landfahrzeuge",1003533000,12930000
Albanien,WA88,"Luftfahrzeuge, Raumfahrzeuge",40814000,20000
Albanien,WA89,Wasserfahrzeuge,1820000,12000
Albanien,WA90,"Optische, photografische usw. Erzeugnisse",150529000,27196000
Albanien,WA91,Uhrmacherwaren,2561000,135000
Albanien,WA92,Musikinstrumente,772000,9000
Albanien,WA93,Waffen und Munition,276000,0
Albanien,WA94,"Möbel, Beleuchtungskörper usw.",21429000,24101000
Albanien,WA95,"Spielzeug, Spiele usw., Sportgeräte",9945000,211000
Albanien,WA96,Verschiedene Waren,48561000,3195000
Albanien,WA97,"Kunstgegenstände, Sammlungsstücke",481000,683000
Albanien,WA98,Vollständige Fabrikationsanlagen,846000,0
Albanien,WA99,Zusammenstellungen verschiedener Waren,75225000,31597000
Algerien,WA01,Lebende Tiere,137167000,5000
